field_path,coverage_pct,present_docs,types_seen,array_elem_types,examples
host_dry_mass,1.476,192,object:192,,"{""has_numeric_value"": 0.188, ""has_raw_value"": ""0.188"", ""has_unit"": ""g"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 2.671, ""has_raw_value"": ""2.671"", ""has_unit"": ""g"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 0.58, ""has_raw_value"": ""0.58"", ""has_unit"": ""g"", ""type"": ""nmdc:QuantityValue""}"
host_dry_mass.has_numeric_value,1.476,192,number:192,,0.188 | 2.671 | 0.58
host_dry_mass.has_raw_value,1.476,192,string:192,,"""0.188"" | ""2.671"" | ""0.58"""
host_dry_mass.has_unit,1.476,192,string:192,,"""g"""
host_dry_mass.type,1.476,192,string:192,,"""nmdc:QuantityValue"""
host_genotype,0.469,61,object:61,,"{""has_raw_value"": ""Mix breed"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""Australian Shep"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""Swiss Webster"", ""type"": ""nmdc:TextValue""}"
host_genotype.has_raw_value,0.469,61,string:61,,"""Mix breed"" | ""Australian Shep"" | ""Swiss Webster"""
host_genotype.type,0.469,61,string:61,,"""nmdc:TextValue"""
host_height,1.476,192,object:192,,"{""has_numeric_value"": 20.32, ""has_raw_value"": ""20.32"", ""has_unit"": ""cm"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 241.3, ""has_raw_value"": ""241.3"", ""has_unit"": ""cm"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 165.1, ""has_raw_value"": ""165.1"", ""has_unit"": ""cm"", ""type"": ""nmdc:QuantityValue""}"
host_height.has_numeric_value,1.476,192,number:192,,20.32 | 241.3 | 165.1
host_height.has_raw_value,1.476,192,string:192,,"""20.32"" | ""241.3"" | ""165.1"""
host_height.has_unit,1.476,192,string:192,,"""cm"""
host_height.type,1.476,192,string:192,,"""nmdc:QuantityValue"""
host_life_stage,1.276,166,object:166,,"{""has_raw_value"": ""vegetative"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""adult"", ""type"": ""nmdc:TextValue""}"
host_life_stage.has_raw_value,1.276,166,string:166,,"""vegetative"" | ""adult"""
host_life_stage.type,1.276,166,string:166,,"""nmdc:TextValue"""
host_name,6.674,868,string:868,,"""Arabidopsis"" | ""Myodes glareolus"" | ""Populus"""
host_sex,0.469,61,string:61,,"""male"" | ""female"""
host_taxid,7.127,927,object:927,,"{""has_raw_value"": ""NCBITaxon:3701"", ""term"": {""id"": ""NCBITaxon:3701"", ""type"": ""nmdc:OntologyClass""}, ""type"": ""nmdc:Con… | {""has_raw_value"": ""NCBITaxon:447135"", ""term"": {""id"": ""NCBITaxon:447135"", ""type"": ""nmdc:OntologyClass""}, ""type"": ""nmdc… | {""has_raw_value"": ""Brachypodium distachyon [NCBI:txid15368]"", ""term"": {""id"": ""NCBI:txid15368"", ""name"": ""Brachypodium …"
host_taxid.has_raw_value,7.127,927,string:927,,"""NCBITaxon:3701"" | ""NCBITaxon:447135"" | ""Brachypodium distachyon [NCBI:txid15368]"""
host_taxid.term,7.127,927,object:927,,"{""id"": ""NCBITaxon:3701"", ""type"": ""nmdc:OntologyClass""} | {""id"": ""NCBITaxon:447135"", ""type"": ""nmdc:OntologyClass""} | {""id"": ""NCBI:txid15368"", ""name"": ""Brachypodium distachyon"", ""type"": ""nmdc:OntologyClass""}"
host_taxid.term.id,7.127,927,string:927,,"""NCBITaxon:3701"" | ""NCBITaxon:447135"" | ""NCBI:txid15368"""
host_taxid.term.name,0.807,105,string:105,,"""Brachypodium distachyon"""
host_taxid.term.type,7.127,927,string:927,,"""nmdc:OntologyClass"""
host_taxid.type,7.127,927,string:927,,"""nmdc:ControlledIdentifiedTermValue"""
humidity,1.476,192,object:192,,"{""has_numeric_value"": 49.64, ""has_raw_value"": ""49.64"", ""has_unit"": ""%"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 74.32, ""has_raw_value"": ""74.32"", ""has_unit"": ""%"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 78.3, ""has_raw_value"": ""78.3"", ""has_unit"": ""%"", ""type"": ""nmdc:QuantityValue""}"
humidity.has_numeric_value,1.476,192,number:192,,49.64 | 74.32 | 78.3
humidity.has_raw_value,1.476,192,string:192,,"""49.64"" | ""74.32"" | ""78.3"""
humidity.has_unit,1.476,192,string:192,,"""%"""
humidity.type,1.476,192,string:192,,"""nmdc:QuantityValue"""
id,100.0,13006,string:13006,,"""nmdc:bsm-11-f47vah56"" | ""nmdc:bsm-11-kab09c17"" | ""nmdc:bsm-11-d2j1rm41"""
igsn_biosample_identifiers,0.408,53,array:53,string:53,"[""igsn:IEWFS000Q""] | [""igsn:IEWFS001G""] | [""igsn:IEWFS000V""]"
img_identifiers,13.402,1743,array:1743,string:2017,"[""img.taxon:3300046768""] | [""img.taxon:3300042544""] | [""img.taxon:3300003354"", ""img.taxon:3300005515"", ""img.taxon:3300025302""]"
insdc_biosample_identifiers,18.753,2439,array:2439,string:2455,"[""biosample:SAMN18247292""] | [""biosample:SAMN06268269""] | [""biosample:SAMEA7723395""]"
lat_lon,100.0,13006,object:13006,,"{""latitude"": 44.952363, ""longitude"": -110.541582, ""type"": ""nmdc:GeolocationValue""} | {""has_raw_value"": ""42.476365 -85.451887"", ""latitude"": 42.476365, ""longitude"": -85.451887, ""type"": ""nmdc:GeolocationVa… | {""latitude"": 63.881243, ""longitude"": -145.753351, ""type"": ""nmdc:GeolocationValue""}"
lat_lon.has_raw_value,59.811,7779,string:7779,,"""42.476365 -85.451887"" | ""38.5326 -121.783"" | ""45.665551 -89.218027"""
lat_lon.latitude,100.0,13006,number:13006,,44.952363 | 42.476365 | 63.881243
lat_lon.longitude,100.0,13006,number:13006,,-110.541582 | -85.451887 | -145.753351
lat_lon.type,100.0,13006,string:13006,,"""nmdc:GeolocationValue"""
lbc_thirty,0.792,103,object:103,,"{""has_numeric_value"": 547.0, ""has_raw_value"": ""547 ppm"", ""has_unit"": ""ppm"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 1066.0, ""has_raw_value"": ""1066 ppm"", ""has_unit"": ""ppm"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 1338.0, ""has_raw_value"": ""1338 ppm"", ""has_unit"": ""ppm"", ""type"": ""nmdc:QuantityValue""}"
lbc_thirty.has_numeric_value,0.792,103,number:103,,547.0 | 1066.0 | 1338.0
lbc_thirty.has_raw_value,0.792,103,string:103,,"""547 ppm"" | ""1066 ppm"" | ""1338 ppm"""
lbc_thirty.has_unit,0.792,103,string:103,,"""ppm"""
lbc_thirty.type,0.792,103,string:103,,"""nmdc:QuantityValue"""
lbceq,0.792,103,object:103,,"{""has_numeric_value"": 1586.3, ""has_raw_value"": ""1586.3 ppm"", ""has_unit"": ""ppm"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 3091.4, ""has_raw_value"": ""3091.4 ppm"", ""has_unit"": ""ppm"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 3880.2, ""has_raw_value"": ""3880.2 ppm"", ""has_unit"": ""ppm"", ""type"": ""nmdc:QuantityValue""}"
lbceq.has_numeric_value,0.792,103,number:103,,1586.3 | 3091.4 | 3880.2
lbceq.has_raw_value,0.792,103,string:103,,"""1586.3 ppm"" | ""3091.4 ppm"" | ""3880.2 ppm"""
lbceq.has_unit,0.792,103,string:103,,"""ppm"""
lbceq.type,0.792,103,string:103,,"""nmdc:QuantityValue"""
location,22.228,2891,string:2891,,"""USA"" | ""Ukraine"" | ""Peru"""
magnesium,0.838,109,object:109,,"{""has_numeric_value"": 435.555, ""has_raw_value"": ""435.555 mg/kg"", ""has_unit"": ""mg/kg"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 434.396, ""has_raw_value"": ""434.396 mg/kg"", ""has_unit"": ""mg/kg"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 32.16, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""}"
magnesium.has_numeric_value,0.838,109,number:109,,435.555 | 434.396 | 32.16
magnesium.has_raw_value,0.792,103,string:103,,"""435.555 mg/kg"" | ""434.396 mg/kg"" | ""401.356 mg/kg"""
magnesium.has_unit,0.838,109,string:109,,"""mg/kg"" | ""mg/L"""
magnesium.type,0.838,109,string:109,,"""nmdc:QuantityValue"""
manganese,0.838,109,object:109,,"{""has_numeric_value"": 22.0105, ""has_raw_value"": ""22.0105 mg/kg"", ""has_unit"": ""mg/kg"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 51.9587, ""has_raw_value"": ""51.9587 mg/kg"", ""has_unit"": ""mg/kg"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 0.0, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""}"
manganese.has_numeric_value,0.838,109,number:109,,22.0105 | 51.9587 | 0.0
manganese.has_raw_value,0.792,103,string:103,,"""22.0105 mg/kg"" | ""51.9587 mg/kg"" | ""51.7949 mg/kg"""
manganese.has_unit,0.838,109,string:109,,"""mg/kg"" | ""mg/L"""
manganese.type,0.838,109,string:109,,"""nmdc:QuantityValue"""
micro_biomass_meth,1.03,134,string:134,,"""Chloroform fumigation direct extraction"""
misc_param,5.259,684,array:684,object:684,"[{""has_raw_value"": ""biomass_yield;19.6298 Mg/ha"", ""type"": ""nmdc:TextValue""}] | [{""has_raw_value"": ""biomass_yield;13.1841 Mg/ha"", ""type"": ""nmdc:TextValue""}] | [{""has_raw_value"": ""biomass_yield;22.209 Mg/ha"", ""type"": ""nmdc:TextValue""}]"
misc_param[].has_raw_value,5.259,684,string:684,,"""biomass_yield;19.6298 Mg/ha"" | ""biomass_yield;13.1841 Mg/ha"" | ""biomass_yield;22.209 Mg/ha"""
misc_param[].type,5.259,684,string:684,,"""nmdc:TextValue"""
mod_date,20.275,2637,string:2637,,"""2020-11-12T00:00:00"" | ""2020-08-27T00:00:00"" | ""2024-12-17"""
name,100.0,13006,string:13006,,"""YELL_046-M-32.5-21-20180712"" | ""K4"" | ""DEJU_048-O-16.5-8-20180621"""
ncbi_taxonomy_name,20.098,2614,string:2614,,"""freshwater metagenome"" | ""lake water metagenome"" | ""rhizosphere metagenome"""
nitrate,0.138,18,object:18,,"{""has_raw_value"": ""below detection"", ""has_unit"": ""detection"", ""type"": ""nmdc:QuantityValue""}"
nitrate.has_raw_value,0.138,18,string:18,,"""below detection"""
nitrate.has_unit,0.138,18,string:18,,"""detection"""
nitrate.type,0.138,18,string:18,,"""nmdc:QuantityValue"""
nitrate_nitrogen,0.792,103,object:103,,"{""has_numeric_value"": 2.1515, ""has_raw_value"": ""2.1515 mg/kg"", ""has_unit"": ""mg/kg"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 15.0, ""has_raw_value"": ""15 mg/kg"", ""has_unit"": ""mg/kg"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 13.0305, ""has_raw_value"": ""13.0305 mg/kg"", ""has_unit"": ""mg/kg"", ""type"": ""nmdc:QuantityValue""}"
nitrate_nitrogen.has_numeric_value,0.792,103,number:103,,2.1515 | 15.0 | 13.0305
nitrate_nitrogen.has_raw_value,0.792,103,string:103,,"""2.1515 mg/kg"" | ""15 mg/kg"" | ""13.0305 mg/kg"""
nitrate_nitrogen.has_unit,0.792,103,string:103,,"""mg/kg"""
nitrate_nitrogen.type,0.792,103,string:103,,"""nmdc:QuantityValue"""
nitrite_nitrogen,0.792,103,object:103,,"{""has_numeric_value"": 0.0, ""has_raw_value"": ""0 mg/kg"", ""has_unit"": ""mg/kg"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 6.595, ""has_raw_value"": ""6.595 mg/kg"", ""has_unit"": ""mg/kg"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 3.2, ""has_raw_value"": ""3.2 mg/kg"", ""has_unit"": ""mg/kg"", ""type"": ""nmdc:QuantityValue""}"
nitrite_nitrogen.has_numeric_value,0.792,103,number:103,,0.0 | 6.595 | 3.2
nitrite_nitrogen.has_raw_value,0.792,103,string:103,,"""0 mg/kg"" | ""6.595 mg/kg"" | ""3.2 mg/kg"""
nitrite_nitrogen.has_unit,0.792,103,string:103,,"""mg/kg"""
nitrite_nitrogen.type,0.792,103,string:103,,"""nmdc:QuantityValue"""
nitro,7.066,919,object:919,,"{""has_numeric_value"": 0.29, ""has_unit"": ""percent"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 0.31, ""has_unit"": ""percent"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 0.24, ""has_unit"": ""percent"", ""type"": ""nmdc:QuantityValue""}"
nitro.has_numeric_value,7.066,919,"number:914, integer:5",,0.29 | 0.31 | 0.24
nitro.has_unit,7.066,919,string:919,,"""percent"""
nitro.type,7.066,919,string:919,,"""nmdc:QuantityValue"""
org_carb,10.818,1407,object:1407,,"{""has_numeric_value"": 12.2, ""has_unit"": ""percent"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 7.53, ""has_unit"": ""percent"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 18.88, ""has_unit"": ""percent"", ""type"": ""nmdc:QuantityValue""}"
org_carb.has_numeric_value,10.818,1407,"number:1393, integer:14",,12.2 | 7.53 | 18.88
org_carb.has_unit,10.818,1407,string:1407,,"""percent"""
org_carb.type,10.818,1407,string:1407,,"""nmdc:QuantityValue"""
other_treatment,6.074,790,string:790,,"""host plant: Panicgrass rhizosphere; host taxa ID: 1504633"" | ""Miscanthus"" | ""Corn"""
perturbation,1.545,201,array:201,object:201,"[{""has_raw_value"": ""SynCom17 inoculated; 2023-04-24/2023-05-16/22d"", ""type"": ""nmdc:TextValue""}] | [{""has_raw_value"": ""SynCom17 inoculated; 2023-05-08/2023-05-30/22d"", ""type"": ""nmdc:TextValue""}] | [{""has_raw_value"": ""SynCom17 inoculated; 2023-06-05/2023-06-27/22d"", ""type"": ""nmdc:TextValue""}]"
perturbation[].has_raw_value,1.545,201,string:201,,"""SynCom17 inoculated; 2023-04-24/2023-05-16/22d"" | ""SynCom17 inoculated; 2023-05-08/2023-05-30/22d"" | ""SynCom17 inoculated; 2023-06-05/2023-06-27/22d"""
perturbation[].type,1.545,201,string:201,,"""nmdc:TextValue"""
ph,34.899,4539,"number:4494, integer:45",,6.16 | 4.49 | 6.45
photon_flux,1.476,192,object:192,,"{""has_numeric_value"": 414.74, ""has_raw_value"": ""414.74"", ""has_unit"": ""u[E]/m2/s"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 423.21, ""has_raw_value"": ""423.21"", ""has_unit"": ""u[E]/m2/s"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 246.46, ""has_raw_value"": ""246.46"", ""has_unit"": ""u[E]/m2/s"", ""type"": ""nmdc:QuantityValue""}"
photon_flux.has_numeric_value,1.476,192,number:192,,414.74 | 423.21 | 246.46
photon_flux.has_raw_value,1.476,192,string:192,,"""414.74"" | ""423.21"" | ""246.46"""
photon_flux.has_unit,1.476,192,string:192,,"""u[E]/m2/s"""
photon_flux.type,1.476,192,string:192,,"""nmdc:QuantityValue"""
plant_struc,0.807,105,object:105,,"{""has_raw_value"": ""root system [PO:0025025]"", ""term"": {""id"": ""PO:0025025"", ""name"": ""root system"", ""type"": ""nmdc:Ontol…"
plant_struc.has_raw_value,0.807,105,string:105,,"""root system [PO:0025025]"""
plant_struc.term,0.807,105,object:105,,"{""id"": ""PO:0025025"", ""name"": ""root system"", ""type"": ""nmdc:OntologyClass""}"
plant_struc.term.id,0.807,105,string:105,,"""PO:0025025"""
plant_struc.term.name,0.807,105,string:105,,"""root system"""
plant_struc.term.type,0.807,105,string:105,,"""nmdc:OntologyClass"""
plant_struc.type,0.807,105,string:105,,"""nmdc:ControlledTermValue"""
potassium,0.838,109,object:109,,"{""has_numeric_value"": 160.591, ""has_raw_value"": ""160.591 mg/kg"", ""has_unit"": ""mg/kg"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 257.938, ""has_raw_value"": ""257.938 mg/kg"", ""has_unit"": ""mg/kg"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 3.04, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""}"
potassium.has_numeric_value,0.838,109,number:109,,160.591 | 257.938 | 3.04
potassium.has_raw_value,0.792,103,string:103,,"""160.591 mg/kg"" | ""257.938 mg/kg"" | ""124.273 mg/kg"""
potassium.has_unit,0.838,109,string:109,,"""mg/kg"" | ""mg/L"""
potassium.type,0.838,109,string:109,,"""nmdc:QuantityValue"""
salinity,0.146,19,object:19,,"{""has_raw_value"": ""150 mgL"", ""type"": ""nmdc:QuantityValue""} | {""has_raw_value"": ""148300 mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_raw_value"": ""102647 mg/L"", ""type"": ""nmdc:QuantityValue""}"
salinity.has_raw_value,0.146,19,string:19,,"""150 mgL"" | ""148300 mg/L"" | ""102647 mg/L"""
salinity.type,0.146,19,string:19,,"""nmdc:QuantityValue"""
samp_collec_device,33.231,4322,string:4322,,"""auger"" | ""brownie cutter"" | ""corer"""
samp_collec_method,1.0,130,string:130,,"""Kit 4"" | ""Kit 7"" | ""Kit 5"""
samp_mat_process,0.046,6,object:6,,"{""has_raw_value"": ""2mm sieve"", ""type"": ""nmdc:ControlledTermValue""}"
samp_mat_process.has_raw_value,0.046,6,string:6,,"""2mm sieve"""
samp_mat_process.type,0.046,6,string:6,,"""nmdc:ControlledTermValue"""
samp_name,55.636,7236,string:7236,,"""K4"" | ""G6_A_BS"" | ""MMPRNT603"""
samp_size,5.113,665,object:665,,"{""has_numeric_value"": 1000, ""has_unit"": ""mL"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 100, ""has_unit"": ""mL"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 500, ""has_unit"": ""mL"", ""type"": ""nmdc:QuantityValue""}"
samp_size.has_numeric_value,5.113,665,"integer:627, number:38",,1000 | 100 | 500
samp_size.has_raw_value,0.277,36,string:36,,"""2 g"""
samp_size.has_unit,5.113,665,string:665,,"""mL"" | ""g"""
samp_size.type,5.113,665,string:665,,"""nmdc:QuantityValue"""
samp_store_loc,1.346,175,object:175,,"{""has_raw_value"": ""-80 degree Celsius freezer"", ""type"": ""nmdc:TextValue""}"
samp_store_loc.has_raw_value,1.346,175,string:175,,"""-80 degree Celsius freezer"""
samp_store_loc.type,1.346,175,string:175,,"""nmdc:TextValue"""
samp_store_temp,32.362,4209,object:4209,,"{""has_numeric_value"": -80.0, ""has_raw_value"": ""-80 Celsius"", ""has_unit"": ""Celsius"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": -80.0, ""has_raw_value"": ""-80 Cel"", ""has_unit"": ""Cel"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": -80.0, ""has_raw_value"": ""-80 Celcius"", ""has_unit"": ""Celcius"", ""type"": ""nmdc:QuantityValue""}"
samp_store_temp.has_numeric_value,32.362,4209,number:4209,,-80.0 | -20.0 | 4.0
samp_store_temp.has_raw_value,32.362,4209,string:4209,,"""-80 Celsius"" | ""-80 Cel"" | ""-80 Celcius"""
samp_store_temp.has_unit,32.362,4209,string:4209,,"""Celsius"" | ""Cel"" | ""Celcius"""
samp_store_temp.type,32.362,4209,string:4209,,"""nmdc:QuantityValue"""
samp_taxon_id,18.545,2412,object:2412,,"{""has_raw_value"": ""freshwater metagenome [NCBITaxon:449393]"", ""term"": {""id"": ""NCBITaxon:449393"", ""type"": ""nmdc:Ontolo… | {""has_raw_value"": ""lake water metagenome [NCBITaxon:1647806]"", ""term"": {""id"": ""NCBITaxon:1647806"", ""type"": ""nmdc:Onto… | {""has_raw_value"": ""rhizosphere metagenome [NCBITaxon:939928]"", ""term"": {""id"": ""NCBITaxon:939928"", ""name"": ""rhizospher…"
samp_taxon_id.has_raw_value,18.245,2373,string:2373,,"""freshwater metagenome [NCBITaxon:449393]"" | ""lake water metagenome [NCBITaxon:1647806]"" | ""rhizosphere metagenome [NCBITaxon:939928]"""
samp_taxon_id.term,18.545,2412,object:2412,,"{""id"": ""NCBITaxon:449393"", ""type"": ""nmdc:OntologyClass""} | {""id"": ""NCBITaxon:1647806"", ""type"": ""nmdc:OntologyClass""} | {""id"": ""NCBITaxon:939928"", ""name"": ""rhizosphere metagenome"", ""type"": ""nmdc:OntologyClass""}"
samp_taxon_id.term.id,18.545,2412,string:2412,,"""NCBITaxon:449393"" | ""NCBITaxon:1647806"" | ""NCBITaxon:939928"""
samp_taxon_id.term.name,9.403,1223,string:1223,,"""rhizosphere metagenome"" | ""freshwater sediment metagenome"" | ""gut metagenome"""
samp_taxon_id.term.type,18.545,2412,string:2412,,"""nmdc:OntologyClass"""
samp_taxon_id.type,18.545,2412,string:2412,,"""nmdc:ControlledIdentifiedTermValue"""
sample_collection_site,25.211,3279,string:3279,,"""river surface water"" | ""river sediments"" | ""lake water from pelagic integrated epilimnion zone"""
sample_link,0.392,51,array:51,string:51,"[""soil: S16""] | [""soil: S53""] | [""soil: S40""]"
sieving,21.598,2809,object:2809,,"{""has_raw_value"": ""2 mm sieved"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""4mm sieved"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""4mm sieved, combined core (C1-C3)"", ""type"": ""nmdc:TextValue""}"
sieving.has_raw_value,21.598,2809,string:2809,,"""2 mm sieved"" | ""4mm sieved"" | ""4mm sieved, combined core (C1-C3)"""
sieving.type,21.598,2809,string:2809,,"""nmdc:TextValue"""
sodium,0.046,6,object:6,,"{""has_numeric_value"": 27.31, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 16.73, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 23.67, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""}"
sodium.has_numeric_value,0.046,6,number:6,,27.31 | 16.73 | 23.67
sodium.has_unit,0.046,6,string:6,,"""mg/L"""
sodium.type,0.046,6,string:6,,"""nmdc:QuantityValue"""
soil_horizon,35.983,4680,string:4680,,"""M horizon"" | ""O horizon"" | ""B horizon"""
soil_texture_meth,0.231,30,string:30,,"""Textural Analysis Test (hydrometer)"""
soil_type,0.231,30,object:30,,"{""has_raw_value"": ""sandy clay loam [ENVO:06105276]"", ""type"": ""nmdc:TextValue""}"
soil_type.has_raw_value,0.231,30,string:30,,"""sandy clay loam [ENVO:06105276]"""
soil_type.type,0.231,30,string:30,,"""nmdc:TextValue"""
soil_type_meth,0.231,30,object:30,,"{""has_raw_value"": ""Textural Analysis Test (hydrometer) "", ""type"": ""nmdc:TextValue""}"
soil_type_meth.has_raw_value,0.231,30,string:30,,"""Textural Analysis Test (hydrometer) """
soil_type_meth.type,0.231,30,string:30,,"""nmdc:TextValue"""
solar_irradiance,1.476,192,object:192,,"{""has_numeric_value"": 306.44, ""has_raw_value"": ""306.44"", ""has_unit"": ""W/m2"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 311.4, ""has_raw_value"": ""311.4"", ""has_unit"": ""W/m2"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 166.3, ""has_raw_value"": ""166.3"", ""has_unit"": ""W/m2"", ""type"": ""nmdc:QuantityValue""}"
solar_irradiance.has_numeric_value,1.476,192,number:192,,306.44 | 311.4 | 166.3
solar_irradiance.has_raw_value,1.476,192,string:192,,"""306.44"" | ""311.4"" | ""166.3"""
solar_irradiance.has_unit,1.476,192,string:192,,"""W/m2"""
solar_irradiance.type,1.476,192,string:192,,"""nmdc:QuantityValue"""
soluble_react_phosp,0.346,45,object:45,,"{""has_numeric_value"": 0.018, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 0.0, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 0.053, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""}"
soluble_react_phosp.has_numeric_value,0.346,45,number:45,,0.018 | 0.0 | 0.053
soluble_react_phosp.has_unit,0.346,45,string:45,,"""mg/L"""
soluble_react_phosp.type,0.346,45,string:45,,"""nmdc:QuantityValue"""
source_mat_id,22.52,2929,object:2929,,"{""has_raw_value"": ""NCBI:19365726"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""NCBI:19407549"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""NCBI:19366361"", ""type"": ""nmdc:TextValue""}"
source_mat_id.has_raw_value,22.52,2929,string:2929,,"""NCBI:19365726"" | ""NCBI:19407549"" | ""NCBI:19366361"""
source_mat_id.type,22.52,2929,string:2929,,"""nmdc:TextValue"""
specific_ecosystem,54.852,7134,string:7134,,"""Bulk soil"" | ""Unclassified"" | ""Epilimnion"""
store_cond,28.064,3650,object:3650,,"{""has_raw_value"": ""frozen"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""fresh"", ""type"": ""nmdc:TextValue""}"
store_cond.has_raw_value,28.064,3650,string:3650,,"""frozen"" | ""fresh"""
store_cond.type,28.064,3650,string:3650,,"""nmdc:TextValue"""
subsurface_depth,0.008,1,object:1,,"{""has_numeric_value"": 0, ""has_raw_value"": ""0.0"", ""has_unit"": ""meter"", ""type"": ""nmdc:QuantityValue""}"
subsurface_depth.has_numeric_value,0.008,1,integer:1,,0
subsurface_depth.has_raw_value,0.008,1,string:1,,"""0.0"""
subsurface_depth.has_unit,0.008,1,string:1,,"""meter"""
subsurface_depth.type,0.008,1,string:1,,"""nmdc:QuantityValue"""
sulfate,0.046,6,object:6,,"{""has_numeric_value"": 15.48, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 18.1, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 18.2, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""}"
sulfate.has_numeric_value,0.046,6,number:6,,15.48 | 18.1 | 18.2
sulfate.has_unit,0.046,6,string:6,,"""mg/L"""
sulfate.type,0.046,6,string:6,,"""nmdc:QuantityValue"""
temp,37.675,4900,object:4900,,"{""has_numeric_value"": 14.8, ""has_unit"": ""Celsius"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 5, ""has_unit"": ""Celsius"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 20.5, ""has_unit"": ""Celsius"", ""type"": ""nmdc:QuantityValue""}"
temp.has_numeric_value,37.675,4900,"number:3829, integer:1071",,14.8 | 5 | 20.5
temp.has_raw_value,0.146,19,string:19,,"""25.0"" | ""65.0"" | ""40.0"""
temp.has_unit,37.675,4900,string:4900,,"""Celsius"" | ""Cel"" | ""C"""
temp.type,37.675,4900,string:4900,,"""nmdc:QuantityValue"""
tot_carb,1.476,192,object:192,,"{""has_numeric_value"": 44.279, ""has_raw_value"": ""44.279"", ""has_unit"": ""%"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 45.7886, ""has_raw_value"": ""45.7886"", ""has_unit"": ""%"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 43.8166, ""has_raw_value"": ""43.8166"", ""has_unit"": ""%"", ""type"": ""nmdc:QuantityValue""}"
tot_carb.has_numeric_value,1.476,192,number:192,,44.279 | 45.7886 | 43.8166
tot_carb.has_raw_value,1.476,192,string:192,,"""44.279"" | ""45.7886"" | ""43.8166"""
tot_carb.has_unit,1.476,192,string:192,,"""%"""
